train_loss,epoch,step,val_loss,val_acc,val_f1,val_auc,val_tpr,train_acc,train_f1,train_auc,train_tpr
0.6650695204734802,0,9,,,,,,,,,
0.6308451890945435,0,19,,,,,,,,,
,0,25,0.6064069271087646,0.9945908188819885,0.9946198463439941,0.9999758005142212,0.9542357227686363,,,,
0.5881236791610718,0,29,,,,,,,,,
0.5360457301139832,0,39,,,,,,,,,
0.48077839612960815,0,49,,,,,,,,,
,0,51,0.47607842087745667,0.9996107220649719,0.9996109008789062,0.9999836683273315,0.9684808416057805,,,,
0.42159125208854675,0,59,,,,,,,,,
0.36213594675064087,0,69,,,,,,,,,
,0,77,0.3360636830329895,0.9997255802154541,0.9997256994247437,0.9999855756759644,0.9725743600827913,,,,
0.30747318267822266,0,79,,,,,,,,,
0.2580673098564148,0,89,,,,,,,,,
0.21569955348968506,0,99,,,,,,,,,
,0,103,0.22613096237182617,0.9997192025184631,0.9997192621231079,0.9999864101409912,0.973923492976763,,,,
0.17984935641288757,0,109,,,,,,,,,
0.14867818355560303,0,119,,,,,,,,,
0.12408941239118576,0,129,,,,,,,,,
,0,129,0.15530002117156982,0.9996532797813416,0.9996532797813416,0.9999866485595703,0.9747379723022146,,,,
,0,130,,,,,,0.9876776337623596,0.9878266453742981,0.9999327659606934,0.9802137681061505
0.10448119044303894,1,139,,,,,,,,,
0.08992011100053787,1,149,,,,,,,,,
,1,156,0.1116868257522583,0.9995192885398865,0.9995192289352417,0.9999867677688599,0.9754195418777261,,,,
0.07819999754428864,1,159,,,,,,,,,
0.06628439575433731,1,169,,,,,,,,,
0.058912236243486404,1,179,,,,,,,,,
,1,182,0.08617940545082092,0.9994597434997559,0.9994596242904663,0.9999865889549255,0.9751837806723482,,,,
0.05080443620681763,1,189,,,,,,,,,
0.04572860524058342,1,199,,,,,,,,,
,1,208,0.06981224566698074,0.9992576241493225,0.9992573261260986,0.9999867677688599,0.975520229019314,,,,
0.04086192324757576,1,209,,,,,,,,,
0.03628639876842499,1,219,,,,,,,,,
0.03263532370328903,1,229,,,,,,,,,
,1,234,0.05904655531048775,0.9991194009780884,0.9991188645362854,0.9999868273735046,0.9756075725326989,,,,
0.030233662575483322,1,239,,,,,,,,,
0.02725718915462494,1,249,,,,,,,,,
0.024607859551906586,1,259,,,,,,,,,
,1,260,0.0512092299759388,0.9990662336349487,0.9990655779838562,0.9999865889549255,0.9755933454304451,,,,
,1,261,,,,,,0.9998874068260193,0.9998874664306641,0.9999992847442627,0.9972964143354794
0.023051714524626732,2,269,,,,,,,,,
0.021641284227371216,2,279,,,,,,,,,
,2,287,0.04542990028858185,0.9989173412322998,0.9989164471626282,0.9999866485595703,0.9755750549308996,,,,
0.019406430423259735,2,289,,,,,,,,,
0.017875872552394867,2,299,,,,,,,,,
0.016622375696897507,2,309,,,,,,,,,
,2,313,0.041149068623781204,0.9988365173339844,0.9988353848457336,0.999986469745636,0.9753179761609054,,,,
0.015675529837608337,2,319,,,,,,,,,
0.0152814369648695,2,329,,,,,,,,,
0.013636255636811256,2,339,,,,,,,,,
,2,339,0.037689026445150375,0.9987514019012451,0.9987501502037048,0.9999865889549255,0.9753457384923601,,,,
0.012826250866055489,2,349,,,,,,,,,
0.012632494792342186,2,359,,,,,,,,,
,2,365,0.03512148559093475,0.9986875653266907,0.9986861348152161,0.9999865889549255,0.9754231594664688,,,,
0.011272655799984932,2,369,,,,,,,,,
0.010932646691799164,2,379,,,,,,,,,
0.01021099928766489,2,389,,,,,,,,,
