train_loss,epoch,step,val_loss,val_acc,val_f1,val_auc,val_tpr,train_acc,train_f1,train_auc,train_tpr,learning_rate
5.157729174243286e-05,0,9,,,,,,,,,,
0.0001570653694216162,0,19,,,,,,,,,,
2.01920611289097e-05,0,29,,,,,,,,,,
4.395293217385188e-05,0,39,,,,,,,,,,
3.1360839784611017e-05,0,49,,,,,,,,,,
2.4410745027125813e-05,0,59,,,,,,,,,,
9.089225386560429e-06,0,69,,,,,,,,,,
0.00017070466128643602,0,79,,,,,,,,,,
8.652310498291627e-06,0,89,,,,,,,,,,
1.5222768524836283e-05,0,99,,,,,,,,,,
1.0629997632349841e-05,0,109,,,,,,,,,,
7.682223440497182e-06,0,119,,,,,,,,,,
3.756993010028964e-06,0,129,,,,,,,,,,
,0,129,0.41730836033821106,0.9401249289512634,0.9363102912902832,0.9999983310699463,0.9981675723744587,,,,,
0.0003843075246550143,0,139,,,,,,,,,,
5.809258800582029e-05,0,149,,,,,,,,,,
0.00015685291145928204,0,159,,,,,,,,,,
1.7383334125042893e-05,0,169,,,,,,,,,,
3.2471129998157267e-06,0,179,,,,,,,,,,
5.803597014164552e-05,0,189,,,,,,,,,,
0.00021635806479025632,0,199,,,,,,,,,,
0.0002093465009238571,0,209,,,,,,,,,,
2.5569124773028307e-05,0,219,,,,,,,,,,
0.0002153522800654173,0,229,,,,,,,,,,
0.00021727952116634697,0,239,,,,,,,,,,
1.201346458401531e-05,0,249,,,,,,,,,,
0.00023653155949432403,0,259,,,,,,,,,,
,0,259,0.8977513909339905,0.8971409797668457,0.8853455781936646,0.9999979734420776,0.9979125046753128,,,,,
,0,260,,,,,,0.9999868869781494,0.9999868869781494,0.9999921917915344,0.9874132943038098,0.0001223423460032791
3.722211840795353e-05,1,269,,,,,,,,,,
1.815068389987573e-05,1,279,,,,,,,,,,
5.515909833775368e-06,1,289,,,,,,,,,,
1.4973466022638604e-05,1,299,,,,,,,,,,
0.00010309863137081265,1,309,,,,,,,,,,
2.800796937663108e-05,1,319,,,,,,,,,,
1.4964894944569096e-05,1,329,,,,,,,,,,
2.324395245523192e-05,1,339,,,,,,,,,,
1.3861681509297341e-05,1,349,,,,,,,,,,
3.677669519674964e-05,1,359,,,,,,,,,,
5.641905590891838e-05,1,369,,,,,,,,,,
0.0002515648666303605,1,379,,,,,,,,,,
0.00014131124771665782,1,389,,,,,,,,,,
,1,390,1.0853908061981201,0.8914106488227844,0.8781799674034119,0.9999979138374329,0.9979747669296074,,,,,
0.00016029801918193698,1,399,,,,,,,,,,
4.289321441319771e-05,1,409,,,,,,,,,,
