train_loss,epoch,step,val_loss,val_acc,val_f1,val_auc,val_tpr,train_acc,train_f1,train_auc,train_tpr,learning_rate
3.2327809549315134e-06,0,9,,,,,,,,,,
1.3981365555082448e-05,0,19,,,,,,,,,,
0.0256319809705019,0,29,,,,,,,,,,
7.648050086572766e-06,0,39,,,,,,,,,,
1.2650184544327203e-06,0,49,,,,,,,,,,
4.251109203323722e-06,0,59,,,,,,,,,,
1.551450395709253e-06,0,69,,,,,,,,,,
1.1223073670407757e-05,0,79,,,,,,,,,,
3.538860937624122e-06,0,89,,,,,,,,,,
3.477798600215465e-05,0,99,,,,,,,,,,
2.905274413933512e-06,0,109,,,,,,,,,,
8.222068572649732e-06,0,119,,,,,,,,,,
4.853883638133993e-06,0,129,,,,,,,,,,
,0,129,0.06539440900087357,0.9911343455314636,0.9910551309585571,0.9999956488609314,0.997272203597162,,,,,
4.024211648356868e-06,0,139,,,,,,,,,,
5.097805114928633e-06,0,149,,,,,,,,,,
6.2415856518782675e-06,0,159,,,,,,,,,,
2.1877970084460685e-06,0,169,,,,,,,,,,
2.037729700532509e-06,0,179,,,,,,,,,,
6.234552711248398e-05,0,189,,,,,,,,,,
2.789654217849602e-06,0,199,,,,,,,,,,
7.59014824325277e-07,0,209,,,,,,,,,,
8.044462447287515e-07,0,219,,,,,,,,,,
2.993176349264104e-05,0,229,,,,,,,,,,
6.3803622651903424e-06,0,239,,,,,,,,,,
5.301956207404146e-06,0,249,,,,,,,,,,
6.0517895690281875e-06,0,259,,,,,,,,,,
,0,259,0.05932997912168503,0.9918873310089111,0.9918210506439209,0.9999964237213135,0.9975581813549613,,,,,
,0,260,,,,,,0.9999812245368958,0.9999812245368958,0.9999879598617554,0.9768099351684271,0.0001223423460032791
4.126580279262271e-06,1,269,,,,,,,,,,
1.570579343024292e-06,1,279,,,,,,,,,,
1.501498536526924e-05,1,289,,,,,,,,,,
8.576547543270863e-07,1,299,,,,,,,,,,
5.674159183399752e-06,1,309,,,,,,,,,,
6.378309990395792e-06,1,319,,,,,,,,,,
1.3367402061703615e-05,1,329,,,,,,,,,,
3.522218094076379e-06,1,339,,,,,,,,,,
4.407610049383948e-06,1,349,,,,,,,,,,
6.488880899269134e-06,1,359,,,,,,,,,,
1.965190222108504e-06,1,369,,,,,,,,,,
1.2013022569590248e-05,1,379,,,,,,,,,,
2.1991058019921184e-05,1,389,,,,,,,,,,
,1,390,0.06978893280029297,0.9907004237174988,0.9906130433082581,0.9999961853027344,0.9975532700229277,,,,,
4.586037903209217e-06,1,399,,,,,,,,,,
5.47179388377117e-06,1,409,,,,,,,,,,
1.3434736501949374e-05,1,419,,,,,,,,,,
3.388779987290036e-06,1,429,,,,,,,,,,
3.6650130823545624e-06,1,439,,,,,,,,,,
5.804748070659116e-06,1,449,,,,,,,,,,
3.7561017052212264e-06,1,459,,,,,,,,,,
5.437024810817093e-06,1,469,,,,,,,,,,
1.3793151083518751e-05,1,479,,,,,,,,,,
1.05308154161321e-05,1,489,,,,,,,,,,
1.8865094943976146e-06,1,499,,,,,,,,,,
8.921517292037606e-06,1,509,,,,,,,,,,
5.733048965339549e-06,1,519,,,,,,,,,,
,1,520,0.02938900515437126,0.995492696762085,0.9954725503921509,0.9999974966049194,0.9982408345931708,,,,,
,1,521,,,,,,0.999973714351654,0.999973714351654,0.999987781047821,0.9767508804115744,0.0005193230463191867
0.00037518140743486583,2,529,,,,,,,,,,
2.2249989797273884e-06,2,539,,,,,,,,,,
1.123802348956815e-06,2,549,,,,,,,,,,
2.8825186745962128e-05,2,559,,,,,,,,,,
2.385030165896751e-05,2,569,,,,,,,,,,
3.1115650926949456e-05,2,579,,,,,,,,,,
4.3061399992438965e-06,2,589,,,,,,,,,,
9.615275303076487e-06,2,599,,,,,,,,,,
1.2318614608375356e-06,2,609,,,,,,,,,,
0.026889478787779808,2,619,,,,,,,,,,
4.799587622983381e-05,2,629,,,,,,,,,,
2.3105243599275127e-05,2,639,,,,,,,,,,
1.5691217413404956e-05,2,649,,,,,,,,,,
,2,651,0.0544833168387413,0.9916831254959106,0.9916132688522339,0.999997079372406,0.9980129134320113,,,,,
2.2636637368123047e-05,2,659,,,,,,,,,,
6.794458022341132e-05,2,669,,,,,,,,,,
1.3084494639770128e-05,2,679,,,,,,,,,,
4.4703301682602614e-05,2,689,,,,,,,,,,
2.4208417016780004e-05,2,699,,,,,,,,,,
1.8446651665726677e-05,2,709,,,,,,,,,,
9.958809641830157e-06,2,719,,,,,,,,,,
1.1737140084733255e-05,2,729,,,,,,,,,,
9.591148409526795e-05,2,739,,,,,,,,,,
5.286616215016693e-05,2,749,,,,,,,,,,
4.4914340833202004e-05,2,759,,,,,,,,,,
1.1000697668350767e-05,2,769,,,,,,,,,,
1.80685892701149e-05,2,779,,,,,,,,,,
,2,781,0.04404577240347862,0.99341881275177,0.9933752417564392,0.9999973177909851,0.9982092477467293,,,,,
,2,782,,,,,,0.9999812245368958,0.9999812245368958,0.9999893307685852,0.980626234394318,0.0009169821278192103
5.253467861621175e-06,3,789,,,,,,,,,,
4.5732558646705e-05,3,799,,,,,,,,,,
1.3631576621264685e-05,3,809,,,,,,,,,,
