train_loss,epoch,step,val_loss,val_acc,val_f1,val_auc,val_tpr,train_acc,train_f1,train_auc,train_tpr,learning_rate
,5,293,,,,,,0.9999499917030334,0.9999499917030334,0.999997079372406,0.9970725022401844,0.000713437853846699
0.0017459350638091564,6,299,,,,,,,,,,
0.002257679123431444,6,309,,,,,,,,,,
,6,317,0.002556155901402235,0.999530017375946,0.9995298385620117,0.9999986886978149,0.998895652293303,,,,,
0.0019436394795775414,6,319,,,,,,,,,,
0.0030546789057552814,6,329,,,,,,,,,,
0.0015857783146202564,6,339,,,,,,,,,,
,6,341,0.0026508145965635777,0.9993699789047241,0.999369740486145,0.9999986886978149,0.9988558639298463,,,,,
,6,342,,,,,,0.9999499917030334,0.9999499917030334,0.9999991059303284,0.9990530562501201,0.0004981150268577039
0.0014990989584475756,7,349,,,,,,,,,,
0.001584390876814723,7,359,,,,,,,,,,
,7,366,0.0025974425952881575,0.9993699789047241,0.999369740486145,0.9999985694885254,0.998954326008683,,,,,
0.0018731150776147842,7,369,,,,,,,,,,
0.001666111289523542,7,379,,,,,,,,,,
0.001764874905347824,7,389,,,,,,,,,,
,7,390,0.002599134109914303,0.9993699789047241,0.999369740486145,0.9999985694885254,0.998995122821432,,,,,
,7,391,,,,,,0.9999600052833557,0.9999600052833557,0.9999997615814209,0.9997797849462366,0.0002831657766364515
0.0016261693090200424,8,399,,,,,,,,,,
0.0012481855228543282,8,409,,,,,,,,,,
,8,415,0.00254188128747046,0.9993699789047241,0.999369740486145,0.9999985694885254,0.998995122821432,,,,,
0.0013876135926693678,8,419,,,,,,,,,,
0.001451411982998252,8,429,,,,,,,,,,
0.0010755389230325818,8,439,,,,,,,,,,
,8,439,0.0025313275400549173,0.9993699789047241,0.999369740486145,0.9999986886978149,0.998995122821432,,,,,
,8,440,,,,,,0.9999499917030334,0.9999499917030334,0.9999996423721313,0.9997395485225127,0.00011116357200080529
0.001479373313486576,9,449,,,,,,,,,,
0.0014430221635848284,9,459,,,,,,,,,,
,9,464,0.00253133662045002,0.9993699789047241,0.999369740486145,0.9999986290931702,0.998995122821432,,,,,
0.0018920497968792915,9,469,,,,,,,,,,
0.0013045895611867309,9,479,,,,,,,,,,
,9,488,0.0025311463978141546,0.9993699789047241,0.999369740486145,0.9999986290931702,0.998995122821432,,,,,
,9,488,,,,,,0.99993896484375,0.99993896484375,0.9999993443489075,0.9995107580060197,1.6454592696391046e-05
