train_loss,epoch,step,val_loss,val_acc,val_f1,val_auc,val_tpr,train_acc,train_f1,train_auc,train_tpr
0.0031155988108366728,2,369,,,,,,,,,
0.003095081774517894,2,379,,,,,,,,,
0.0029573910869657993,2,389,,,,,,,,,
,2,391,0.010802184231579304,0.9993682503700256,0.9993679523468018,0.9999972581863403,0.9949750928642281,,,,
,2,392,,,,,,0.9999681115150452,0.9999681115150452,1.0,0.9999962532417577
0.002934656571596861,3,399,,,,,,,,,
0.003077431581914425,3,409,,,,,,,,,
,3,418,0.010382458567619324,0.9993618726730347,0.9993615746498108,0.9999973773956299,0.9952061989801765,,,,
0.0026476741768419743,3,419,,,,,,,,,
0.0026651760563254356,3,429,,,,,,,,,
0.0023071453906595707,3,439,,,,,,,,,
,3,444,0.009946190752089024,0.9993236064910889,0.9993231892585754,0.9999974370002747,0.9953386461038767,,,,
0.002416109200567007,3,449,,,,,,,,,
0.002116924151778221,3,459,,,,,,,,,
0.0019479948095977306,3,469,,,,,,,,,
,3,470,0.009635357186198235,0.999321460723877,0.9993211030960083,0.9999973773956299,0.9954287179748421,,,,
0.0017966656014323235,3,479,,,,,,,,,
0.0018195821903645992,3,489,,,,,,,,,
,3,496,0.009305163286626339,0.9993236064910889,0.9993231892585754,0.9999975562095642,0.9954207461822063,,,,
0.0017478319350630045,3,499,,,,,,,,,
0.0017044666456058621,3,509,,,,,,,,,
0.001629991689696908,3,519,,,,,,,,,
,3,522,0.008892607875168324,0.999325692653656,0.9993253350257874,0.9999974966049194,0.9954759280895505,,,,
,3,523,,,,,,0.999971866607666,0.999971866607666,1.0,1.0
0.0015180018963292241,4,529,,,,,,,,,
0.0015995921567082405,4,539,,,,,,,,,
0.0014392987359315157,4,549,,,,,,,,,
,4,549,0.008769741281867027,0.9993001818656921,0.9992997646331787,0.9999973773956299,0.9955358972210973,,,,
0.0013397680595517159,4,559,,,,,,,,,
0.0013139720540493727,4,569,,,,,,,,,
,4,575,0.008596147410571575,0.9992512464523315,0.9992507696151733,0.9999975562095642,0.9955701633558777,,,,
0.0012445596512407064,4,579,,,,,,,,,
0.0012118247104808688,4,589,,,,,,,,,
0.0011998629197478294,4,599,,,,,,,,,
,4,601,0.008500006049871445,0.9992002248764038,0.9991996884346008,0.9999974966049194,0.9955754677347823,,,,
0.0012391257332637906,4,609,,,,,,,,,
0.0011253650300204754,4,619,,,,,,,,,
,4,627,0.008340776897966862,0.9991980791091919,0.9991975426673889,0.999997615814209,0.9955797510366052,,,,
0.0010945693356916308,4,629,,,,,,,,,
0.0010881987400352955,4,639,,,,,,,,,
0.001203108229674399,4,649,,,,,,,,,
,4,653,0.008070684038102627,0.9991980791091919,0.9991975426673889,0.9999975562095642,0.9956262094259787,,,,
,4,654,,,,,,0.9999774694442749,0.9999774694442749,1.0,1.0
0.00130719062872231,5,659,,,,,,,,,
0.000992428045719862,5,669,,,,,,,,,
0.0009421517024748027,5,679,,,,,,,,,
,5,680,0.0080544613301754,0.9991363883018494,0.9991357326507568,0.9999975562095642,0.99564336216344,,,,
0.0011026985011994839,5,689,,,,,,,,,
0.0009391722269356251,5,699,,,,,,,,,
,5,706,0.007996588945388794,0.9991130232810974,0.9991123080253601,0.9999974966049194,0.9956469969281805,,,,
0.0008139232522808015,5,709,,,,,,,,,
0.0008200925076380372,5,719,,,,,,,,,
0.0009890816872939467,5,729,,,,,,,,,
,5,732,0.007994570769369602,0.9990342855453491,0.9990334510803223,0.9999975562095642,0.9956260291680192,,,,
0.00079089350765571,5,739,,,,,,,,,
0.0008350131683982909,5,749,,,,,,,,,
,5,758,0.007912195287644863,0.9989577531814575,0.9989567399024963,0.999997615814209,0.9956263554640351,,,,
0.0007650532643310726,5,759,,,,,,,,,
