epoch,lr,step,train_acc,train_auc,train_f1,train_loss,train_precision,train_recall,train_tpr,val_acc,val_auc,val_f1,val_loss,val_precision,val_recall,val_tpr
0,3.9999998989515007e-05,0,,,,0.692487895488739,,,,,,,,,,
0,4.000024273409508e-05,1,,,,0.6920821666717529,,,,,,,,,,
0,4.00009703298565e-05,2,,,,0.6925708055496216,,,,,,,,,,
0,4.000218177679926e-05,3,,,,0.6923216581344604,,,,,,,,,,
0,4.0003880712902173e-05,4,,,,0.6925749778747559,,,,,,,,,,
0,4.000606350018643e-05,5,,,,0.6922540664672852,,,,,,,,,,
0,4.0008733776630834e-05,6,,,,0.6919489502906799,,,,,,,,,,
0,4.0011884266277775e-05,7,,,,0.6914618611335754,,,,,,,,,,
0,4.001552224508487e-05,8,,,,0.6919519901275635,,,,,,,,,,
0,4.001964771305211e-05,9,,,,0.6915405988693237,,,,,,,,,,
0,4.0024257032200694e-05,10,,,,0.691300630569458,,,,,,,,,,
0,4.002935020253062e-05,11,,,,0.6914217472076416,,,,,,,,,,
0,4.0034927224041894e-05,12,,,,0.691601037979126,,,,,,,,,,
0,4.0040991734713316e-05,13,,,,0.6915786266326904,,,,,,,,,,
0,4.004754009656608e-05,14,,,,0.6915422677993774,,,,,,,,,,
0,4.005457230960019e-05,15,,,,0.6915065050125122,,,,,,,,,,
0,4.006209201179445e-05,16,,,,0.6911864876747131,,,,,,,,,,
0,4.007009556517005e-05,17,,,,0.6916031837463379,,,,,,,,,,
0,4.00785866077058e-05,18,,,,0.6914490461349487,,,,,,,,,,
0,4.00875615014229e-05,19,,,,0.6914972066879272,,,,,,,,,,
0,4.0097020246321335e-05,20,,,,0.6910837888717651,,,,,,,,,,
0,4.010696284240112e-05,21,,,,0.691758394241333,,,,,,,,,,
0,4.011739292764105e-05,22,,,,0.691083550453186,,,,,,,,,,
0,4.0128306864062324e-05,23,,,,0.6901950836181641,,,,,,,,,,
0,4.013970465166494e-05,24,,,,0.6902120113372803,,,,,,,,,,
0,4.015158992842771e-05,25,,,,0.690981388092041,,,,,,,,,,
0,4.016395905637182e-05,26,,,,0.690612256526947,,,,,,,,,,
0,4.017681203549728e-05,27,,,,0.6908143758773804,,,,,,,,,,
0,4.019015250378288e-05,28,,,,0.6908548474311829,,,,,,,,,,
0,4.0203973185271025e-05,29,,,,0.690475344657898,,,,,,,,,,
0,4.0218284993898124e-05,30,,,,0.6903594732284546,,,,,,,,,,
0,4.023307701572776e-05,31,,,,0.6903437972068787,,,,,,,,,,
0,4.0248356526717544e-05,32,,,,0.690802812576294,,,,,,,,,,
0,4.026411988888867e-05,33,,,,0.6902518272399902,,,,,,,,,,
0,4.0280367102241144e-05,34,,,,0.6901752948760986,,,,,,,,,,
0,4.029709816677496e-05,35,,,,0.6900333166122437,,,,,,,,,,
0,4.0314316720468923e-05,36,,,,0.6897139549255371,,,,,,,,,,
0,4.033201912534423e-05,37,,,,0.6898829936981201,,,,,,,,,,
0,4.035020901937969e-05,38,,,,0.689907431602478,,,,,,,,,,
0,4.0368879126617685e-05,39,,,,0.689813494682312,,,,,,,,,,
0,4.038803672301583e-05,40,,,,0.6894823312759399,,,,,,,,,,
0,4.040767817059532e-05,41,,,,0.6896668672561646,,,,,,,,,,
0,4.042780346935615e-05,42,,,,0.6901417970657349,,,,,,,,,,
0,4.044841625727713e-05,43,,,,0.6900556087493896,,,,,,,,,,
0,4.046950925840065e-05,44,,,,0.6895368099212646,,,,,,,,,,
0,4.049108974868432e-05,45,,,,0.6894944906234741,,,,,,,,,,
0,4.051315409014933e-05,46,,,,0.6891448497772217,,,,,,,,,,
0,4.053570592077449e-05,47,,,,0.6884743571281433,,,,,,,,,,
0,4.055873796460219e-05,48,,,,0.6890846490859985,,,,,,,,,,
0,4.0582257497590035e-05,49,,,,0.6893774271011353,,,,,,,,,,
0,4.0606260881759226e-05,50,,,,0.6886190176010132,,,,,,,,,,
0,4.063074811710976e-05,51,,,,0.6886324882507324,,,,,,,,,,
0,4.065571920364164e-05,52,,,,0.6889250874519348,,,,,,,,,,
0,4.0681177779333666e-05,53,,,,0.6884426474571228,,,,,,,,,,
0,4.070711656822823e-05,54,,,,0.6884666085243225,,,,,,,,,,
0,4.0733542846282944e-05,55,,,,0.6884137392044067,,,,,,,,,,
0,4.0760452975519e-05,56,,,,0.6884459257125854,,,,,,,,,,
0,4.07878469559364e-05,57,,,,0.6879150867462158,,,,,,,,,,
0,4.0815724787535146e-05,58,,,,0.6882754564285278,,,,,,,,,,
0,4.084408647031523e-05,59,,,,0.6878303289413452,,,,,,,,,,
0,4.087293564225547e-05,60,,,,0.6880244016647339,,,,,,,,,,
0,4.0902265027398244e-05,61,,,,0.6874203681945801,,,,,,,,,,
0,4.093208190170117e-05,62,,,,0.6873834729194641,,,,,,,,,,
0,4.096237898920663e-05,63,,,,0.687018632888794,,,,,,,,,,
0,4.099316356587224e-05,64,,,,0.6876246333122253,,,,,,,,,,
0,4.102443199371919e-05,65,,,,0.6874468326568604,,,,,,,,,,
0,4.105618427274749e-05,66,,,,0.6872361898422241,,,,,,,,,,
0,4.1088420402957126e-05,67,,,,0.6868666410446167,,,,,,,,,,
0,4.112114038434811e-05,68,,,,0.6865333318710327,,,,,,,,,,
0,4.1154344216920435e-05,69,,,,0.6871040463447571,,,,,,,,,,
0,4.1188031900674105e-05,70,,,,0.686439037322998,,,,,,,,,,
0,4.122220343560912e-05,71,,,,0.6864551305770874,,,,,,,,,,
0,4.125685882172547e-05,72,,,,0.6868987083435059,,,,,,,,,,
