run_idx,seed,preset_index,model_name,test_auc,test_f1,test_acc,tpr_at_1e4,tpr_at_1e5,tpr_at_1e6,elapsed_sec
0,33,0,_tabular_rf_onehot,0.9978621730835081,0.9437226760874365,0.9457849777081986,0.5230006083579016,0.43784326488243375,0.4234724048004969,7.228195905685425
0,33,0,_tabular_xgb_onehot,0.998069553222235,0.899423437510973,0.908609995575673,0.81728842545914,0.8121450359271501,0.524502358982213,3.254196882247925
0,33,0,_tabular_mlp_onehot,0.9997366019752806,0.9415975580107513,0.9448150290984583,0.695655133392042,0.5559072403098797,0.5384222684517505,115.8601257801056
0,33,0,mlp_seq,0.8593732687744081,0.6362755676215006,0.7332598781608413,0.36363636363636365,0.0,0.0,219.5234968662262
0,33,0,attpool_transformer,0.9786831538707551,0.8876430806786973,0.8989658135656672,0.0,0.0,0.0,1226.536422252655
0,33,0,cls_transformer,0.9941223810811205,0.6147255784080631,0.7218395841132628,0.0,0.0,0.0,2039.6724600791931
0,33,0,mean_transformer,0.9981646050186136,0.855693183753924,0.8738641391280673,0.0,0.0,0.0,1901.1816880702972
0,33,0,neurlux,0.997191404970073,0.5362542655740155,0.6831841541027125,0.45682998736487435,0.413708898616943,0.0,310.5608150959015
0,33,0,cnn,0.9999658520653487,0.8432332149825672,0.8644773338324881,0.7799531181533147,0.7195384988449708,0.701143117259922,344.13606119155884
0,33,0,lstm,0.9982452213741017,0.73730436487579,0.7919609127726916,0.635044818534921,0.6074304749020458,0.5986709719687398,1032.7007176876068
0,33,0,cnn_lstm,0.9948456856452513,0.5721921885440078,0.7003794711227581,0.47785875035629355,0.4168272646441957,0.39840210330172426,702.8645308017731
1,34,1,_tabular_rf_onehot,0.9992782635359174,0.987933792855968,0.9879841234727563,0.4505847468082481,0.3657166924048856,0.36468290939721515,7.311604261398315
1,34,1,_tabular_xgb_onehot,0.9992628827612013,0.8993166670958469,0.9085164040431543,0.817105492663544,0.7944133175075194,0.578173990359867,3.2053587436676025
1,34,1,_tabular_mlp_onehot,0.9988099921644221,0.9431109592551465,0.9461678521594119,0.7323480487877512,0.5431615041330049,0.5261359913893958,112.64594984054564
1,34,1,mlp_seq,0.8959831675377634,0.649606378365027,0.7404983323690569,0.4526480585725286,0.3749952139675571,0.35839087207892484,175.89039421081543
1,34,1,attpool_transformer,0.9988143365519847,0.8603276940229774,0.8774248715243508,0.0,0.0,0.0,1286.7047238349917
1,34,1,cls_transformer,0.9989743027460212,0.7618736653070682,0.8076417486301602,0.0,0.0,0.0,1724.9517550468445
1,34,1,mean_transformer,0.9771899439627946,0.7770706931480985,0.8176645509308104,0.0,0.0,0.0,44671.75159692764
1,34,1,neurlux,0.9990193814666832,0.7012367095845683,0.7699456318279277,0.5475476369762485,0.0,0.0,587.3221228122711
1,34,1,cnn,0.9989730825506102,0.6903587237824089,0.763572899295511,0.8365729455158066,0.6155816199337187,0.6085238174245615,597.9621770381927
1,34,1,lstm,0.995507010998644,0.8662660177530846,0.8815237552326175,0.0,0.0,0.0,412.3833599090576
1,34,1,cnn_lstm,0.9642756560018336,0.5333316694536651,0.6818228227206208,0.3709068786985395,0.36427024704435906,0.0,341.4084692001343
2,35,2,_tabular_rf_onehot,0.9992760027484785,0.9787337585433185,0.9789929551100977,0.4679420911345662,0.37007729974176695,0.36439787457617023,7.289079189300537
2,35,2,_tabular_xgb_onehot,0.9995499625162446,0.8992766007257403,0.9084844978388864,0.8168715088552235,0.7598177478845737,0.727966170195568,3.27659010887146
2,35,2,_tabular_mlp_onehot,0.9955205554898449,0.9435265514862675,0.9465400912092026,0.7572524344951693,0.5389795753406591,0.5264210262104407,113.69307112693788
2,35,2,mlp_seq,0.9183786910322155,0.6747542850378121,0.7545540788891536,0.36768641064583785,0.0,0.0,340.24330496788025
2,35,2,attpool_transformer,0.9940330534095949,0.8064633196206467,0.8377867304223531,0.0,0.0,0.0,1638.60018825531
2,35,2,cls_transformer,0.999645529423594,0.747141197659672,0.7981273185175102,0.0,0.0,0.0,2265.24466919899
2,35,2,mean_transformer,0.9473855895547209,0.8650386565899649,0.8810685600517306,0.0,0.0,0.0,2265.0455288887024
2,35,2,neurlux,0.998479708004931,0.7713466659349676,0.8138826021849369,0.5272038084055493,0.0,0.0,342.10395526885986
2,35,2,cnn,0.9999324459085935,0.9333920141196861,0.9375467957662594,0.9417848284898686,0.0,0.0,228.60864114761353
2,35,2,lstm,0.9961381677797141,0.6390640106057185,0.7347658510022802,0.0,0.0,0.0,601.6465618610382
2,35,2,cnn_lstm,0.9196512700660227,0.534370849778343,0.6823035428649219,0.44216983821083217,0.36453401061010215,0.0,408.3040370941162
3,36,0,_tabular_rf_onehot,0.9982084133674867,0.9510685600977427,0.9532318857842971,0.7399206156752135,0.500057432389315,0.4668487486120506,7.251835107803345
3,36,0,_tabular_xgb_onehot,0.9980036849123555,0.8993492204691231,0.908544056086853,0.8171778149315704,0.8057083540728073,0.4540221816650288,3.2369401454925537
3,36,0,_tabular_mlp_onehot,0.9991332819630052,0.9396333391218452,0.9430644420242997,0.7594135940338383,0.5908048617581118,0.5836279402192641,105.48987698554993
3,36,0,mlp_seq,0.8917334153032311,0.6941516618479049,0.7657637919885648,0.36658881387226183,0.363640617887424,0.36363636363636365,188.19902801513672
3,36,0,attpool_transformer,0.9998573036647657,0.9694242554422634,0.9703272300309703,0.7555464798199601,0.0,0.0,1712.3458199501038
3,36,0,cls_transformer,0.9997212573963292,0.8394145089230617,0.8616164108498111,0.0,0.0,0.0,2792.306718826294
