train_loss,epoch,step,val_loss,val_acc,val_f1,val_auc,val_tpr,train_acc,train_f1,train_auc,train_tpr,learning_rate
0.0,0,9,,,,,,,,,,
9.726170446811011e-08,0,19,,,,,,,,,,
,0,23,0.04912186041474342,0.9934099912643433,0.9933668375015259,0.9999971389770508,0.997711838682292,,,,,
2.718249803024264e-08,0,29,,,,,,,,,,
1.047737119286296e-09,0,39,,,,,,,,,,
,0,47,0.04693252965807915,0.9934899806976318,0.9934478402137756,0.9999971985816956,0.997711838682292,,,,,
,0,48,,,,,,1.0,1.0,1.0000001192092896,1.0,0.00012112808326492086
5.285446036396024e-07,1,49,,,,,,,,,,
1.6880199460445056e-09,1,59,,,,,,,,,,
1.194279946048482e-07,1,69,,,,,,,,,,
,1,72,0.04392322897911072,0.9937400221824646,0.9937011003494263,0.9999971985816956,0.9977320758364421,,,,,
1.5917472410365008e-05,1,79,,,,,,,,,,
2.159468515117169e-08,1,89,,,,,,,,,,
,1,96,0.04360317066311836,0.9937599897384644,0.9937213063240051,0.9999971389770508,0.9977521266224061,,,,,
,1,97,,,,,,1.0,1.0,1.0,1.0,0.0005191775853745639
3.9871149937198425e-08,2,99,,,,,,,,,,
5.6458173247619925e-08,2,109,,,,,,,,,,
1.396982973744798e-09,2,119,,,,,,,,,,
,2,121,0.05878385901451111,0.9928799867630005,0.9928292036056519,0.9999971389770508,0.9978338770919081,,,,,
7.054276096596368e-08,2,129,,,,,,,,,,
1.7462284951363927e-09,2,139,,,,,,,,,,
,2,145,0.05688509717583656,0.9931100010871887,0.9930626153945923,0.9999970197677612,0.9977934333196249,,,,,
,2,146,,,,,,0.9999899864196777,0.9999899864196777,1.0000001192092896,1.0,0.0009180596680380404
6.957297387089056e-07,3,149,,,,,,,,,,
0.0004701893194578588,3,159,,,,,,,,,,
0.0004098104254808277,3,169,,,,,,,,,,
,3,170,0.04976189509034157,0.993399977684021,0.9933567047119141,0.9999971985816956,0.9977934333196249,,,,,
2.1410315298453497e-07,3,179,,,,,,,,,,
2.27009566700076e-09,3,189,,,,,,,,,,
,3,194,0.04977669566869736,0.993399977684021,0.9933567047119141,0.9999972581863403,0.9977738726701502,,,,,
,3,195,,,,,,0.9999799728393555,0.9999799728393555,0.9999998807907104,1.0,0.0009829869959503412
1.7753025716160664e-08,4,199,,,,,,,,,,
6.40284159025839e-10,4,209,,,,,,,,,,
4.889430194054967e-09,4,219,,,,,,,,,,
,4,219,0.04923507943749428,0.993399977684021,0.9933567047119141,0.9999971985816956,0.9978129888510129,,,,,
9.89530013484341e-10,4,229,,,,,,,,,,
3.4924593772522883e-10,4,239,,,,,,,,,,
,4,243,0.04572585970163345,0.9936400055885315,0.9935998320579529,0.9999971985816956,0.9978135822887519,,,,,
,4,243,,,,,,1.0,1.0,1.0,1.0,0.0008877767832018435
