component,tpr,mean_score,num_samples
interpreter,1.0,0.9983,10934
wrappers,1.0,0.8556,3
net_utility,0.9997,0.9642,11075
shell_invoker,0.9952,0.7941,29997
ip_tokens,0.9952,0.7941,29997
fd_redirection,0.9947,0.7735,27270
obfuscation,0.9914,0.7133,10981
