train_loss,epoch,step,val_loss,val_acc,val_f1,val_auc,val_tpr,train_acc,train_f1,train_auc,train_tpr,learning_rate
2.8464967272157082e-06,0,9,,,,,,,,,,
3.721987741300836e-05,0,19,,,,,,,,,,
0.0004695698735304177,0,29,,,,,,,,,,
5.830464942846447e-06,0,39,,,,,,,,,,
,0,48,0.24303966760635376,0.9764699935913086,0.9759172797203064,0.9998773336410522,0.9137234133639226,,,,,
4.0795512177282944e-05,0,49,,,,,,,,,,
8.180815711966716e-06,0,59,,,,,,,,,,
2.169700564991217e-05,0,69,,,,,,,,,,
2.1338828446459956e-06,0,79,,,,,,,,,,
0.0004688574408646673,0,89,,,,,,,,,,
,0,97,0.3519875705242157,0.9727699756622314,0.9720175266265869,0.9999173283576965,0.953120594584328,,,,,
,0,97,,,,,,0.9999400973320007,0.9999399781227112,1.0,1.0,0.00012203930964460596
3.3666463423287496e-05,1,99,,,,,,,,,,
0.0002767958794720471,1,109,,,,,,,,,,
4.7027282334966003e-07,1,119,,,,,,,,,,
4.190946256699135e-09,1,129,,,,,,,,,,
5.031685077483417e-07,1,139,,,,,,,,,,
,1,146,0.20447306334972382,0.9809799790382385,0.98062664270401,0.9997760057449341,0.8169084690558001,,,,,
3.4593395525917003e-07,1,149,,,,,,,,,,
1.4353197741456825e-07,1,159,,,,,,,,,,
2.0455781850614585e-06,1,169,,,,,,,,,,
0.0009252544259652495,1,179,,,,,,,,,,
1.868354075895695e-07,1,189,,,,,,,,,,
,1,195,0.22742781043052673,0.981249988079071,0.9809069037437439,0.9997777342796326,0.8171687549622509,,,,,
,1,195,,,,,,1.0,1.0,1.0,1.0,0.0005195187404751778
0.0004608242597896606,2,199,,,,,,,,,,
1.1616023130045505e-06,2,209,,,,,,,,,,
6.376550913955725e-07,2,219,,,,,,,,,,
2.7939646152219666e-09,2,229,,,,,,,,,,
8.265337925195126e-08,2,239,,,,,,,,,,
,2,244,0.21756306290626526,0.9825900197029114,0.982295572757721,0.999617874622345,0.6904601441538413,,,,,
4.07453271122904e-09,2,249,,,,,,,,,,
2.153665512594216e-08,2,259,,,,,,,,,,
1.6065245134200268e-08,2,269,,,,,,,,,,
2.9273267045937246e-06,2,279,,,,,,,,,,
7.005409770499682e-06,2,289,,,,,,,,,,
,2,293,3.1854565143585205,0.923770010471344,0.917552649974823,0.9989965558052063,0.6032652655316321,,,,,
,2,293,,,,,,0.9999600648880005,0.9999600052833557,0.999989926815033,0.9897753369945083,0.0009174823644571006
8.513234206475317e-07,3,299,,,,,,,,,,
0.0007532796007581055,3,309,,,,,,,,,,
0.0031846463680267334,3,319,,,,,,,,,,
1.1082453710287155e-07,3,329,,,,,,,,,,
1.382933163540656e-07,3,339,,,,,,,,,,
,3,342,0.19021867215633392,0.9845200181007385,0.9842979907989502,0.9995051026344299,0.6129583806403623,,,,,
,3,342,,,,,,0.9998804330825806,0.9998804926872253,0.9999996423721313,0.9999232775817093,0.0009956854628399014
