val_loss,val_acc,val_f1,val_auc,val_tpr,epoch,step,train_loss,train_acc,train_f1,train_auc,train_tpr
0.6602891087532043,0.594264566898346,0.33017289638519287,0.8421757817268372,0.017511811131355488,0,25,,,,,
0.6186497211456299,0.6520848274230957,0.4700649082660675,0.9235494136810303,0.21666419077612353,0,51,,,,,
0.5283318758010864,0.7935396432876587,0.7404045462608337,0.9936063289642334,0.2933747040953933,0,77,,,,,
,,,,,0,99,0.41805601119995117,,,,
0.38949331641197205,0.9024969935417175,0.8932663798332214,0.9963231682777405,0.3938463163245482,0,103,,,,,
0.2596081793308258,0.9596153497695923,0.9584364295005798,0.9968506693840027,0.5177225543496178,0,129,,,,,
,,,,,0,130,,0.7514098882675171,0.6714799404144287,0.932420551776886,0.28565378741431774
0.17186585068702698,0.9851232171058655,0.9850949645042419,0.9972135424613953,0.5782322934337045,1,156,,,,,
0.12576015293598175,0.98862224817276,0.9886411428451538,0.9974256157875061,0.6098985560023467,1,182,,,,,
,,,,,1,199,0.07700993865728378,,,,
0.10007672756910324,0.9883244633674622,0.9883358478546143,0.9976629614830017,0.638873478525771,1,208,,,,,
0.08361925929784775,0.9885988831520081,0.9886107444763184,0.9979338645935059,0.666913248087494,1,234,,,,,
0.07309999316930771,0.9881840944290161,0.98818439245224,0.9982364177703857,0.6901847898490644,1,260,,,,,
,,,,,1,261,,0.9951052069664001,0.9951047301292419,0.9994324445724487,0.7857687560693355
0.06475672125816345,0.9884733557701111,0.9884735941886902,0.9985066652297974,0.7141078922818082,2,287,,,,,
,,,,,2,299,0.027535654604434967,,,,
0.06034575030207634,0.9874460101127625,0.987427830696106,0.9987338781356812,0.7377757265535345,2,313,,,,,
0.05632930248975754,0.9869354963302612,0.9869083762168884,0.9989480972290039,0.7618118431199629,2,339,,,,,
0.0531810000538826,0.986544132232666,0.9865078330039978,0.9991235733032227,0.784728203941797,2,365,,,,,
0.04921742156147957,0.9871482253074646,0.9871187806129456,0.9992484450340271,0.8014260471552982,2,391,,,,,
,,,,,2,392,,0.997795581817627,0.997800350189209,0.9999542236328125,0.9427408555275295
,,,,,3,399,0.013731338083744049,,,,
0.04619835689663887,0.9873502850532532,0.9873220324516296,0.9993501901626587,0.8137404371124317,3,418,,,,,
0.04517117142677307,0.9867461919784546,0.9867034554481506,0.9994400143623352,0.8238019259165138,3,444,,,,,
0.045680560171604156,0.9856635332107544,0.985586404800415,0.9995499849319458,0.8345292199508088,3,470,,,,,
0.04176536574959755,0.9872481822967529,0.9871940612792969,0.9996156692504883,0.8446630243411601,3,496,,,,,
,,,,,3,499,0.009295817464590073,,,,
0.03983338549733162,0.9879969358444214,0.9879429936408997,0.9996770024299622,0.8538154985712716,3,522,,,,,
,,,,,3,523,,0.9982683658599854,0.9982712864875793,0.9999877214431763,0.973803495315502
0.038900867104530334,0.9883904457092285,0.9883275032043457,0.9997264742851257,0.860724330667465,4,549,,,,,
0.037733953446149826,0.9891178607940674,0.9890506267547607,0.9997603893280029,0.8660277144998985,4,575,,,,,
,,,,,4,599,0.006780452560633421,,,,
0.039075445383787155,0.9888328313827515,0.9887340068817139,0.9998056292533875,0.8717014282051282,4,601,,,,,
0.03518988937139511,0.9904153943061829,0.9903486371040344,0.9998247623443604,0.8749825780876495,4,627,,,,,
0.03627141937613487,0.9899176359176636,0.9898291230201721,0.9998517632484436,0.8790037326398249,4,653,,,,,
,,,,,4,654,,0.9993658661842346,0.999366283416748,0.9999910593032837,0.9810175430898683
0.03436586633324623,0.9905600547790527,0.9904829859733582,0.9998637437820435,0.8813982433084311,5,680,,,,,
