val_loss,val_acc,val_f1,val_auc,val_tpr,epoch,step,train_loss,train_acc,train_f1,train_auc,train_tpr,learning_rate
0.648884654045105,0.6082075238227844,0.3583802282810211,0.9507702589035034,0.19249413925536324,0,25,,,,,,
0.5819818377494812,0.6994845867156982,0.5711024403572083,0.9964145421981812,0.3131123962083406,0,51,,,,,,
0.4532259702682495,0.8851208686828613,0.8703967928886414,0.9984038472175598,0.4072631763273719,0,77,,,,,,
,,,,,0,99,0.33391302824020386,,,,,
0.3099168539047241,0.9779316186904907,0.9776955842971802,0.9981243014335632,0.4636475328833348,0,103,,,,,,
0.20360594987869263,0.986969530582428,0.9869496822357178,0.9980089068412781,0.5390417748167122,0,129,,,,,,
,,,,,0,130,,0.781904399394989,0.721714973449707,0.9875094890594482,0.40232858313972675,0.0010000006295740604
0.1411292403936386,0.9883010983467102,0.9882979989051819,0.9980214238166809,0.6040668750538544,1,156,,,,,,
0.10871901363134384,0.9876225590705872,0.9876107573509216,0.9980927109718323,0.6342769486263404,1,182,,,,,,
,,,,,1,199,0.06135521084070206,,,,,
0.09188904613256454,0.984210729598999,0.984139621257782,0.9981995224952698,0.6653256150708216,1,208,,,,,,
0.08154470473527908,0.9822686910629272,0.9821533560752869,0.9983310699462891,0.7067270019335999,1,234,,,,,,
0.07678120583295822,0.9784442186355591,0.9782177209854126,0.9984391927719116,0.7421964548569765,1,260,,,,,,
,,,,,1,261,,0.9976754784584045,0.9976806044578552,0.9996358156204224,0.8392052932866425,0.0010000006295740604
0.07336808741092682,0.9761002063751221,0.975789487361908,0.9985272884368896,0.7714923621614287,2,287,,,,,,
,,,,,2,299,0.02268659695982933,,,,,
0.07530911266803741,0.970099687576294,0.9695202112197876,0.9985987544059753,0.7856374050938678,2,313,,,,,,
0.07889702916145325,0.9640268683433533,0.9630880951881409,0.9986544251441956,0.7907147237081413,2,339,,,,,,
0.08307140320539474,0.959530234336853,0.9582589268684387,0.9987030029296875,0.7943639111550944,2,365,,,,,,
