train_loss,epoch,step,val_loss,val_acc,val_f1,val_auc,val_tpr,train_acc,train_f1,train_auc,train_tpr
0.675703763961792,0,9,,,,,,,,,
0.6497955918312073,0,19,,,,,,,,,
,0,25,0.6300246119499207,0.6284381747245789,0.4987546503543854,0.8296864628791809,0.08218735559065307,,,,
0.6226131916046143,0,29,,,,,,,,,
0.5902963876724243,0,39,,,,,,,,,
0.5570484399795532,0,49,,,,,,,,,
,0,51,0.5538797378540039,0.7509662508964539,0.752554178237915,0.8325163722038269,0.19041236292495134,,,,
0.528023898601532,0,59,,,,,,,,,
0.4925244152545929,0,69,,,,,,,,,
,0,77,0.4731484651565552,0.788692057132721,0.7976700067520142,0.8951520919799805,0.28774046062666386,,,,
0.4621632993221283,0,79,,,,,,,,,
0.41794201731681824,0,89,,,,,,,,,
0.371427983045578,0,99,,,,,,,,,
,0,103,0.37083810567855835,0.8934207558631897,0.8925100564956665,0.9599801301956177,0.3071443662177142,,,,
0.3248976767063141,0,109,,,,,,,,,
0.27570459246635437,0,119,,,,,,,,,
0.23507536947727203,0,129,,,,,,,,,
,0,129,0.2647572159767151,0.9417138695716858,0.9390440583229065,0.9967559576034546,0.5066174859332818,,,,
,0,130,,,,,,0.7524886727333069,0.7126656174659729,0.897642970085144,0.22570137980259541
0.1984032690525055,1,139,,,,,,,,,
0.16714318096637726,1,149,,,,,,,,,
,1,156,0.18376457691192627,0.9688213467597961,0.9681963324546814,0.99752277135849,0.5931451891375547,,,,
0.14714235067367554,1,159,,,,,,,,,
0.11809195578098297,1,169,,,,,,,,,
0.10828952491283417,1,179,,,,,,,,,
,1,182,0.13688285648822784,0.9799203872680664,0.9797492623329163,0.997662365436554,0.6187842404315339,,,,
0.09196753799915314,1,189,,,,,,,,,
0.08156047761440277,1,199,,,,,,,,,
,1,208,0.10863350331783295,0.9801990389823914,0.9800337553024292,0.9978552460670471,0.6425894877556373,,,,
0.06767795234918594,1,209,,,,,,,,,
0.06286616623401642,1,219,,,,,,,,,
0.053709227591753006,1,229,,,,,,,,,
,1,234,0.09174724668264389,0.9797565937042236,0.9795767664909363,0.9981207847595215,0.66861511153961,,,,
0.049373045563697815,1,239,,,,,,,,,
0.04446534812450409,1,249,,,,,,,,,
0.037886735051870346,1,259,,,,,,,,,
,1,260,0.07920446246862411,0.980371356010437,0.9802085757255554,0.9984027743339539,0.6981228829344069,,,,
,1,261,,,,,,0.9921634197235107,0.992139458656311,0.9994503855705261,0.7844002213850765
0.0367167592048645,2,269,,,,,,,,,
0.03220842778682709,2,279,,,,,,,,,
,2,287,0.07131880521774292,0.980116069316864,0.9799453616142273,0.9986509084701538,0.7283489859972663,,,,
0.029626358300447464,2,289,,,,,,,,,
0.026952369138598442,2,299,,,,,,,,,
0.023669153451919556,2,309,,,,,,,,,
