train_loss,epoch,step,val_loss,val_acc,val_f1,val_auc,val_tpr,train_acc,train_f1,train_auc,train_tpr
0.6799600124359131,0,9,,,,,,,,,
0.6546982526779175,0,19,,,,,,,,,
,0,25,0.6363571882247925,0.9696232080459595,0.9705182313919067,0.9994073510169983,0.8286424809169007,,,,
0.6211435794830322,0,29,,,,,,,,,
0.5774808526039124,0,39,,,,,,,,,
0.5298539400100708,0,49,,,,,,,,,
,0,51,0.5262922644615173,0.9878352284431458,0.9879812002182007,0.9991405010223389,0.8019133943760499,,,,
0.47686225175857544,0,59,,,,,,,,,
0.4182378053665161,0,69,,,,,,,,,
,0,77,0.3917568325996399,0.990666389465332,0.9907522797584534,0.9990903735160828,0.7881497445776945,,,,
0.3625847101211548,0,79,,,,,,,,,
0.3131692111492157,0,89,,,,,,,,,
0.2674615979194641,0,99,,,,,,,,,
,0,103,0.274858295917511,0.992055356502533,0.9921169281005859,0.9991636872291565,0.7878283430081434,,,,
0.22635412216186523,0,109,,,,,,,,,
0.1901443898677826,0,119,,,,,,,,,
0.16207265853881836,0,129,,,,,,,,,
,0,129,0.1938132643699646,0.992331862449646,0.992388904094696,0.9992929697036743,0.7959832833214532,,,,
,0,130,,,,,,0.9236624240875244,0.9242238402366638,0.9354749321937561,0.9343013717817401
0.13826534152030945,1,139,,,,,,,,,
0.11896461993455887,1,149,,,,,,,,,
,1,156,0.14128221571445465,0.9927147626876831,0.9927660226821899,0.9994434118270874,0.8113935276763129,,,,
0.10524491220712662,1,159,,,,,,,,,
0.08996181935071945,1,169,,,,,,,,,
0.08175280690193176,1,179,,,,,,,,,
,1,182,0.10988277941942215,0.9931976199150085,0.993242084980011,0.9995672106742859,0.8274190213218773,,,,
0.06967984139919281,1,189,,,,,,,,,
0.06402052938938141,1,199,,,,,,,,,
,1,208,0.08957885205745697,0.9938931465148926,0.9939284324645996,0.9996712803840637,0.8435529385835202,,,,
0.05611181631684303,1,209,,,,,,,,,
0.052811700850725174,1,219,,,,,,,,,
0.04563739150762558,1,229,,,,,,,,,
,1,234,0.07575103640556335,0.9946929216384888,0.9947189092636108,0.9997495412826538,0.8565757811731004,,,,
0.04268856346607208,1,239,,,,,,,,,
0.03868640214204788,1,249,,,,,,,,,
0.03506621718406677,1,259,,,,,,,,,
,1,260,0.06574256718158722,0.9954544305801392,0.9954725503921509,0.9998021125793457,0.8670787921518793,,,,
,1,261,,,,,,0.9978912472724915,0.9978955984115601,0.9999867677688599,0.9767536989398258
0.03281855583190918,2,269,,,,,,,,,
0.031279146671295166,2,279,,,,,,,,,
