val_loss,val_acc,val_f1,val_auc,val_tpr,epoch,step,train_loss,train_acc,train_f1,train_auc,train_tpr,learning_rate
0.6274954676628113,0.9976266026496887,0.0,0.7013834118843079,0.0949367088607595,0,6,,,,,,
,,,,,0,9,0.6797656416893005,,,,,
0.6253678202629089,0.9976266026496887,0.0,0.887126624584198,0.43248945147679324,0,13,,,,,,
,,,,,0,14,,0.5883451104164124,0.0,0.5335016846656799,0.004362612519692917,5.906837395741604e-05
,,,,,1,19,0.6747968196868896,,,,,
0.6208263039588928,0.9976266026496887,0.0,0.9944488406181335,0.5675105485232067,1,21,,,,,,
0.6133041977882385,0.9976266026496887,0.0,0.999911904335022,1.0,1,28,,,,,,
,,,,,1,29,0.6666867733001709,,,,,
,,,,,1,29,,0.5946125984191895,0.02999361790716648,0.7327347993850708,0.07251182536503914,0.00017943367129191756
0.5966874361038208,0.9976266026496887,0.0,0.9999706149101257,1.0,2,36,,,,,,
,,,,,2,39,0.6342374086380005,,,,,
0.5669084787368774,0.9989451766014099,0.7142857313156128,1.0,1.0,2,43,,,,,,
,,,,,2,44,,0.7172956466674805,0.4770596921443939,0.9631984829902649,0.5576902095088567,0.00039306722464971244
,,,,,3,49,0.5600376725196838,,,,,
0.5035551190376282,0.9994725584983826,0.875,1.0,1.0,3,51,,,,,,
0.40744733810424805,0.9997363090515137,0.9411764740943909,1.0,1.0,3,58,,,,,,
,,,,,3,59,0.421923965215683,,,,,
,,,,,3,59,,0.936924934387207,0.9170321226119995,0.9996606111526489,0.9686885558230024,0.0006414629169739783
0.26200389862060547,0.9997363090515137,0.9411764740943909,0.9992951154708862,0.729957805907173,4,66,,,,,,
,,,,,4,66,,0.9952567219734192,0.9942078590393066,0.9999886751174927,0.999647266313933,0.000810918805655092
