epoch,lr,step,train_acc,train_auc,train_f1,train_loss,train_precision,train_recall,train_tpr,val_acc,val_auc,val_f1,val_loss,val_precision,val_recall,val_tpr
0,3.9999998989515007e-05,0,,,,0.7118961811065674,,,,,,,,,,
0,4.000024273409508e-05,1,,,,0.708914041519165,,,,,,,,,,
0,4.00009703298565e-05,2,,,,0.7070963382720947,,,,,,,,,,
0,4.000218177679926e-05,3,,,,0.7003108263015747,,,,,,,,,,
0,4.0003880712902173e-05,4,,,,0.7108564376831055,,,,,,,,,,
0,4.000606350018643e-05,5,,,,0.7030345797538757,,,,,,,,,,
0,4.0008733776630834e-05,6,,,,0.7093549370765686,,,,,,,,,,
0,4.0011884266277775e-05,7,,,,0.704764723777771,,,,,,,,,,
0,4.001552224508487e-05,8,,,,0.7055127024650574,,,,,,,,,,
0,4.001964771305211e-05,9,,,,0.7134814262390137,,,,,,,,,,
0,4.0024257032200694e-05,10,,,,0.71124267578125,,,,,,,,,,
0,4.002935020253062e-05,11,,,,0.7081098556518555,,,,,,,,,,
0,4.0034927224041894e-05,12,,,,0.7035354375839233,,,,,,,,,,
0,4.0040991734713316e-05,13,,,,0.7035523056983948,,,,,,,,,,
0,4.004754009656608e-05,14,,,,0.7026221752166748,,,,,,,,,,
0,4.005457230960019e-05,15,,,,0.7031701803207397,,,,,,,,,,
0,4.006209201179445e-05,16,,,,0.6978864073753357,,,,,,,,,,
0,4.007009556517005e-05,17,,,,0.7020814418792725,,,,,,,,,,
0,4.00785866077058e-05,18,,,,0.7028483152389526,,,,,,,,,,
0,4.00875615014229e-05,19,,,,0.7015736103057861,,,,,,,,,,
0,4.0097020246321335e-05,20,,,,0.7042170166969299,,,,,,,,,,
0,4.010696284240112e-05,21,,,,0.7038766741752625,,,,,,,,,,
0,4.011739292764105e-05,22,,,,0.7110100984573364,,,,,,,,,,
0,4.0128306864062324e-05,23,,,,0.7005664706230164,,,,,,,,,,
0,4.013970465166494e-05,24,,,,0.7053765058517456,,,,,,,,,,
0,4.015158992842771e-05,25,,,,0.7079324722290039,,,,,,,,,,
0,4.016395905637182e-05,26,,,,0.6983042359352112,,,,,,,,,,
0,4.017681203549728e-05,27,,,,0.6997402906417847,,,,,,,,,,
0,4.019015250378288e-05,28,,,,0.7040196061134338,,,,,,,,,,
0,4.0203973185271025e-05,29,,,,0.6993104219436646,,,,,,,,,,
0,4.0218284993898124e-05,30,,,,0.7034710645675659,,,,,,,,,,
0,4.023307701572776e-05,31,,,,0.7006279230117798,,,,,,,,,,
0,4.0248356526717544e-05,32,,,,0.7040266990661621,,,,,,,,,,
0,4.026411988888867e-05,33,,,,0.7025664448738098,,,,,,,,,,
0,4.0280367102241144e-05,34,,,,0.6945687532424927,,,,,,,,,,
0,4.029709816677496e-05,35,,,,0.6970548033714294,,,,,,,,,,
0,4.0314316720468923e-05,36,,,,0.7065224647521973,,,,,,,,,,
0,4.033201912534423e-05,37,,,,0.7046343088150024,,,,,,,,,,
