epoch,lr,memory,step,train_acc,train_auc,train_f1,train_loss,train_precision,train_recall,train_tpr,val_acc,val_auc,val_f1,val_loss,val_precision,val_recall,val_tpr
0,4.00786375394091e-05,38998016.0,9,,,,0.6955897808074951,,,,,,,,,,
0,4.035043093608692e-05,38998016.0,19,,,,0.6887907385826111,,,,,,,,,,
0,4.081624865648337e-05,38998016.0,29,,,,0.6856564283370972,,,,,,,,,,
0,4.147589424974285e-05,38998016.0,39,,,,0.6803874373435974,,,,,,,,,,
0,4.232910941937007e-05,38998016.0,49,,,,0.680980384349823,,,,,,,,,,
0,4.337554128142074e-05,38998016.0,59,,,,0.6737047433853149,,,,,,,,,,
0,4.461476783035323e-05,38998016.0,69,,,,0.6694616079330444,,,,,,,,,,
0,4.6046294301049784e-05,38998016.0,79,,,,0.662915050983429,,,,,,,,,,
0,4.7669534978922457e-05,38998016.0,89,,,,0.6601935625076294,,,,,,,,,,
0,4.948383502778597e-05,38998016.0,99,,,,0.6494099497795105,,,,,,,,,,
0,5.14884595759213e-05,38998016.0,109,,,,0.6409258246421814,,,,,,,,,,
0,5.368260099203326e-05,38998016.0,119,,,,0.6392184495925903,,,,,,,,,,
0,5.6065371609292924e-05,38998016.0,129,,,,0.6285858750343323,,,,,,,,,,
0,5.863580372533761e-05,38998016.0,139,,,,0.6162732839584351,,,,,,,,,,
0,6.139285687822849e-05,38998016.0,149,,,,0.6099805235862732,,,,,,,,,,
0,6.433542148442939e-05,38998016.0,159,,,,0.5967221260070801,,,,,,,,,,
0,6.74623079248704e-05,38998016.0,169,,,,0.581863522529602,,,,,,,,,,
0,7.077224290696904e-05,38998016.0,179,,,,0.5687450766563416,,,,,,,,,,
0,7.42638876545243e-05,38998016.0,189,,,,0.5552651286125183,,,,,,,,,,
0,7.793584518367425e-05,38998016.0,199,,,,0.5344670414924622,,,,,,,,,,
0,8.178660937119275e-05,38998016.0,209,,,,0.5235865116119385,,,,,,,,,,
0,8.581463771406561e-05,38998016.0,219,,,,0.4997553825378418,,,,,,,,,,
0,9.001830039778724e-05,38998016.0,229,,,,0.47958970069885254,,,,,,,,,,
0,9.439588757231832e-05,38998016.0,239,,,,0.4483187794685364,,,,,,,,,,
0,9.894563117995858e-05,38998016.0,249,,,,0.4285019040107727,,,,,,,,,,
0,0.00010366569767938927,38998016.0,259,,,,0.40040209889411926,,,,,,,,,,
0,,,259,,,,,,,,0.9888051748275757,0.9997134208679199,0.9889285564422607,0.3840376138687134,0.9781321287155151,0.9999659657478333,0.9165835380554199
0,0.00010855417349375784,38999552.0,269,,,,0.3884934186935425,,,,,,,,,,
0,0.00011360907956259325,38999552.0,279,,,,0.356779545545578,,,,,,,,,,
0,0.0001188283713418059,38999552.0,289,,,,0.322134792804718,,,,,,,,,,
0,0.0001242099388036877,38999552.0,299,,,,0.30593442916870117,,,,,,,,,,
0,0.00012975159916095436,38999552.0,309,,,,0.2755451202392578,,,,,,,,,,
0,0.00013545111869461834,38999552.0,319,,,,0.24586251378059387,,,,,,,,,,
0,0.00014130619820207357,38999552.0,329,,,,0.2198028713464737,,,,,,,,,,
0,0.00014731446572113782,38999552.0,339,,,,0.2011229693889618,,,,,,,,,,
