epoch,lr,memory,step,train_acc,train_auc,train_f1,train_loss,train_precision,train_recall,train_tpr,val_acc,val_auc,val_f1,val_loss,val_precision,val_recall,val_tpr
0,4.00786375394091e-05,126104576.0,9,,,,0.6989954710006714,,,,,,,,,,
0,4.035043093608692e-05,126104576.0,19,,,,0.6954882144927979,,,,,,,,,,
0,4.081624865648337e-05,126104576.0,29,,,,0.6839076280593872,,,,,,,,,,
0,4.147589424974285e-05,126104576.0,39,,,,0.6736700534820557,,,,,,,,,,
0,4.232910941937007e-05,126104576.0,49,,,,0.6516222357749939,,,,,,,,,,
0,4.337554128142074e-05,126104576.0,59,,,,0.6472067832946777,,,,,,,,,,
0,4.461476783035323e-05,126104576.0,69,,,,0.6375159621238708,,,,,,,,,,
0,4.6046294301049784e-05,126104576.0,79,,,,0.6151819825172424,,,,,,,,,,
0,4.7669534978922457e-05,126104576.0,89,,,,0.607883095741272,,,,,,,,,,
0,4.948383502778597e-05,126104576.0,99,,,,0.5966455936431885,,,,,,,,,,
0,5.14884595759213e-05,126104576.0,109,,,,0.5791395306587219,,,,,,,,,,
0,5.368260099203326e-05,126104576.0,119,,,,0.5581618547439575,,,,,,,,,,
0,5.6065371609292924e-05,126104576.0,129,,,,0.5412048101425171,,,,,,,,,,
0,5.863580372533761e-05,126104576.0,139,,,,0.526897668838501,,,,,,,,,,
0,6.139285687822849e-05,126104576.0,149,,,,0.49650585651397705,,,,,,,,,,
0,6.433542148442939e-05,126104576.0,159,,,,0.4733181595802307,,,,,,,,,,
0,6.74623079248704e-05,126104576.0,169,,,,0.4261283278465271,,,,,,,,,,
0,7.077224290696904e-05,126104576.0,179,,,,0.4198407530784607,,,,,,,,,,
0,7.42638876545243e-05,126104576.0,189,,,,0.3673759698867798,,,,,,,,,,
0,7.793584518367425e-05,126104576.0,199,,,,0.33493292331695557,,,,,,,,,,
0,8.178660937119275e-05,126104576.0,209,,,,0.3017064332962036,,,,,,,,,,
0,8.581463771406561e-05,126104576.0,219,,,,0.27496200799942017,,,,,,,,,,
0,9.001830039778724e-05,126104576.0,229,,,,0.22848623991012573,,,,,,,,,,
0,9.439588757231832e-05,126104576.0,239,,,,0.20105883479118347,,,,,,,,,,
0,9.894563117995858e-05,126104576.0,249,,,,0.1656711846590042,,,,,,,,,,
0,0.00010366569767938927,126104576.0,259,,,,0.14301159977912903,,,,,,,,,,
0,,,259,,,,,,,,0.9882521629333496,0.9998046159744263,0.9883883595466614,0.1143387034535408,0.9770432710647583,1.0,0.9375874996185303
0,0.00010855417349375784,126106112.0,269,,,,0.12171414494514465,,,,,,,,,,
0,0.00011360907956259325,126106112.0,279,,,,0.10620386898517609,,,,,,,,,,
0,0.0001188283713418059,126106112.0,289,,,,0.08921517431735992,,,,,,,,,,
0,0.0001242099388036877,126106112.0,299,,,,0.06453697383403778,,,,,,,,,,
