val_loss,val_acc,val_f1,val_auc,val_tpr,epoch,step,train_loss,train_acc,train_f1,train_auc,train_tpr
0.6853243708610535,0.7986021041870117,0.7486881613731384,0.9827225208282471,0.2076191039776048,0,25,,,,,
0.6760694980621338,0.7495134472846985,0.6662150621414185,0.9908777475357056,0.18930237486601867,0,51,,,,,
0.6578011512756348,0.8491392731666565,0.8226935267448425,0.9934592247009277,0.21667445727424897,0,77,,,,,
,,,,,0,99,0.6389716863632202,,,,
0.6238608360290527,0.9734137058258057,0.9733547568321228,0.9953634738922119,0.24501331778252694,0,103,,,,,
0.5692086219787598,0.9729989171028137,0.9726410508155823,0.9961299300193787,0.2622484579868299,0,129,,,,,
,,,,,0,130,,0.7910261154174805,0.7720965147018433,0.8898131847381592,0.31767378928839896
0.4900839626789093,0.9833981990814209,0.9833697080612183,0.9967744946479797,0.2903586107756963,1,156,,,,,
0.40146276354789734,0.9797842502593994,0.9796103835105896,0.9973640441894531,0.3088257565054448,1,182,,,,,
,,,,,1,199,0.36676526069641113,,,,
0.319754421710968,0.9848977327346802,0.9848478436470032,0.9975658655166626,0.3238311820891467,1,208,,,,,
0.254159539937973,0.9861676096916199,0.9861397743225098,0.9977107048034668,0.3423440531256267,1,234,,,,,
0.20455096662044525,0.9880203008651733,0.9880256056785583,0.9978017807006836,0.3631254708925105,1,260,,,,,
,,,,,1,261,,0.9963284134864807,0.9963322877883911,0.9993137121200562,0.5545269043735008
0.1678159087896347,0.9881691932678223,0.988172709941864,0.9978692531585693,0.3675851266116038,2,287,,,,,
,,,,,2,299,0.13248120248317719,,,,
0.14466652274131775,0.9885499477386475,0.9885483980178833,0.9979356527328491,0.3724280459283041,2,313,,,,,
0.126226007938385,0.9886584281921387,0.9886597394943237,0.9979833364486694,0.38235834024882503,2,339,,,,,
0.11571907252073288,0.9888541102409363,0.9888531565666199,0.9980405569076538,0.3911863427326758,2,365,,,,,
0.1062454804778099,0.9888498783111572,0.9888491630554199,0.9979958534240723,0.40469671018285547,2,391,,,,,
,,,,,2,392,,0.9979287385940552,0.9979329109191895,0.999742329120636,0.6693792576866375
,,,,,3,399,0.05523596704006195,,,,
0.09798666089773178,0.9888243675231934,0.9888240694999695,0.9980406165122986,0.4061813894936654,3,418,,,,,
0.09355869889259338,0.9888924360275269,0.9888915419578552,0.998055100440979,0.41349977230559387,3,444,,,,,
0.09076309204101562,0.9899857044219971,0.9899739623069763,0.9980942606925964,0.42097820251373913,3,470,,,,,
0.08875283598899841,0.9901325106620789,0.990119457244873,0.9981184601783752,0.4256655942141463,3,496,,,,,
,,,,,3,499,0.0300638098269701,,,,
0.0865831971168518,0.9402483105659485,0.937009334564209,0.9981387853622437,0.4312108209041126,3,522,,,,,
,,,,,3,523,,0.9983846545219421,0.9983872175216675,0.999836802482605,0.7435846825219299
