epoch,lr,memory,step,train_acc,train_auc,train_f1,train_loss,train_precision,train_recall,train_tpr,val_acc,val_auc,val_f1,val_loss,val_precision,val_recall,val_tpr
0,3.9999998989515007e-05,0.0,0,,,,0.6931649446487427,,,,,,,,,,
0,4.000024273409508e-05,0.0,1,,,,0.6925839781761169,,,,,,,,,,
0,4.00009703298565e-05,0.0,2,,,,0.6926513314247131,,,,,,,,,,
0,4.000218177679926e-05,0.0,3,,,,0.6926990747451782,,,,,,,,,,
0,4.0003880712902173e-05,0.0,4,,,,0.6917120218276978,,,,,,,,,,
0,4.000606350018643e-05,0.0,5,,,,0.6910539865493774,,,,,,,,,,
0,4.0008733776630834e-05,0.0,6,,,,0.6920748353004456,,,,,,,,,,
0,4.0011884266277775e-05,0.0,7,,,,0.6908703446388245,,,,,,,,,,
0,4.001552224508487e-05,0.0,8,,,,0.6907933354377747,,,,,,,,,,
0,4.001964771305211e-05,0.0,9,,,,0.6903699636459351,,,,,,,,,,
0,4.0024257032200694e-05,0.0,10,,,,0.6906329393386841,,,,,,,,,,
0,4.002935020253062e-05,0.0,11,,,,0.6898201107978821,,,,,,,,,,
0,4.0034927224041894e-05,0.0,12,,,,0.6895755529403687,,,,,,,,,,
0,4.0040991734713316e-05,0.0,13,,,,0.689182698726654,,,,,,,,,,
0,4.004754009656608e-05,0.0,14,,,,0.6882165670394897,,,,,,,,,,
0,4.005457230960019e-05,0.0,15,,,,0.6884278655052185,,,,,,,,,,
0,4.006209201179445e-05,0.0,16,,,,0.6880463361740112,,,,,,,,,,
0,4.007009556517005e-05,0.0,17,,,,0.6882538199424744,,,,,,,,,,
0,4.00785866077058e-05,0.0,18,,,,0.6880617141723633,,,,,,,,,,
0,4.00875615014229e-05,0.0,19,,,,0.6871768236160278,,,,,,,,,,
0,4.0097020246321335e-05,0.0,20,,,,0.6857392191886902,,,,,,,,,,
0,4.010696284240112e-05,0.0,21,,,,0.6857523322105408,,,,,,,,,,
0,4.011739292764105e-05,0.0,22,,,,0.6858506798744202,,,,,,,,,,
0,4.0128306864062324e-05,0.0,23,,,,0.6853086352348328,,,,,,,,,,
0,4.013970465166494e-05,0.0,24,,,,0.6848744750022888,,,,,,,,,,
0,4.015158992842771e-05,0.0,25,,,,0.6848443746566772,,,,,,,,,,
