train_loss,epoch,step,val_loss,val_acc,val_f1,val_auc,val_tpr,train_acc,train_f1,train_auc,train_tpr,learning_rate
4.302932211430743e-05,0,9,,,,,,,,,,
7.21697597327875e-06,0,19,,,,,,,,,,
,0,23,0.004932107869535685,0.9983199834823608,0.9983173608779907,0.9999982118606567,0.9983790967327324,,,,,
0.0002727173559833318,0,29,,,,,,,,,,
7.073974302329589e-06,0,39,,,,,,,,,,
,0,47,0.0050996458157896996,0.9983100295066833,0.9983073472976685,0.9999982714653015,0.9983790967327324,,,,,
,0,48,,,,,,1.0,1.0,0.9999999403953552,1.0,0.00012134949793107808
4.619897936208872e-06,1,49,,,,,,,,,,
7.36631773179397e-06,1,59,,,,,,,,,,
9.360283002024516e-06,1,69,,,,,,,,,,
,1,72,0.005190793890506029,0.9983000159263611,0.9982973337173462,0.999998152256012,0.998359309293119,,,,,
1.2821325071854517e-05,1,79,,,,,,,,,,
2.7309964934829623e-05,1,89,,,,,,,,,,
,1,96,0.007833577692508698,0.9975500106811523,0.9975442290306091,0.9999979734420776,0.9982649477140538,,,,,
,1,97,,,,,,1.0,1.0,1.0,1.0,0.000519521941896528
6.791939085815102e-06,2,99,,,,,,,,,,
0.000268512376351282,2,109,,,,,,,,,,
0.00042898859828710556,2,119,,,,,,,,,,
,2,121,0.006807432975620031,0.9978700280189514,0.9978657364845276,0.9999982118606567,0.998483348715746,,,,,
0.0002777875342871994,2,129,,,,,,,,,,
1.4087618183111772e-05,2,139,,,,,,,,,,
,2,145,0.0078527070581913,0.9976999759674072,0.9976949095726013,0.9999980926513672,0.9984439863969053,,,,,
,2,146,,,,,,0.9999899864196777,0.9999899864196777,1.0,1.0,0.000918178295250982
1.0050853234133683e-06,3,149,,,,,,,,,,
0.0002656395663507283,3,159,,,,,,,,,,
5.009515916754026e-06,3,169,,,,,,,,,,
,3,170,0.006360446102917194,0.9981799721717834,0.9981768727302551,0.9999983906745911,0.9985431361553594,,,,,
2.2713179532729555e-06,3,179,,,,,,,,,,
9.60939814831363e-07,3,189,,,,,,,,,,
,3,194,0.005767399910837412,0.9983299970626831,0.9983274340629578,0.9999983310699463,0.9986225376131432,,,,,
,3,195,,,,,,1.0,1.0,1.0,1.0,0.0009829399641603231
0.00026217041886411607,4,199,,,,,,,,,,
2.9059128792141564e-06,4,209,,,,,,,,,,
7.0561354732490145e-06,4,219,,,,,,,,,,
,4,219,0.006170145235955715,0.9982600212097168,0.9982571601867676,0.9999983310699463,0.9986625376131432,,,,,
3.9451247175747994e-06,4,229,,,,,,,,,,
8.693105542079138e-07,4,239,,,,,,,,,,
,4,243,0.006593386176973581,0.99822998046875,0.998227059841156,0.9999983906745911,0.9986427501735298,,,,,
,4,244,,,,,,1.0,1.0,1.0,1.0,0.0008863753755576909
0.00025923229986801744,5,249,,,,,,,,,,
2.6586751573631773e-06,5,259,,,,,,,,,,
,5,268,0.0061089410446584225,0.9983400106430054,0.99833744764328,0.9999985694885254,0.9987025767520865,,,,,
0.00025604094844311476,5,269,,,,,,,,,,
2.354271373405936e-06,5,279,,,,,,,,,,
1.8293065295438282e-05,5,289,,,,,,,,,,
,5,292,0.007221758831292391,0.9981499910354614,0.9981467723846436,0.9999984502792358,0.9986431009348745,,,,,
,5,293,,,,,,1.0,1.0,1.0,1.0,0.0007132848259061575
0.0002729823172558099,6,299,,,,,,,,,,
1.0663396210475184e-07,6,309,,,,,,,,,,
,6,317,0.0075981030240654945,0.9981399774551392,0.9981366991996765,0.9999984502792358,0.998563313495261,,,,,
,6,317,,,,,,1.0,1.0,1.0,1.0,0.000554736063349992
