train_loss,epoch,step,val_loss,val_acc,val_f1,val_auc,val_tpr,train_acc,train_f1,train_auc,train_tpr
0.6835801601409912,0,9,,,,,,,,,
0.6761779189109802,0,19,,,,,,,,,
,0,25,0.6676003336906433,0.5935583710670471,0.32822859287261963,0.8804799914360046,0.0,,,,
0.6672570705413818,0,29,,,,,,,,,
0.6538288593292236,0,39,,,,,,,,,
0.635688066482544,0,49,,,,,,,,,
,0,51,0.625670850276947,0.6953346729278564,0.567371666431427,0.9582701921463013,0.0196601267393653,,,,
0.6120007038116455,0,59,,,,,,,,,
0.5786545276641846,0,69,,,,,,,,,
,0,77,0.5261104106903076,0.8219701647758484,0.7863122820854187,0.9847224950790405,0.07653159426347698,,,,
0.5393752455711365,0,79,,,,,,,,,
0.47413724660873413,0,89,,,,,,,,,
0.41710516810417175,0,99,,,,,,,,,
,0,103,0.36981290578842163,0.9172354936599731,0.9117018580436707,0.9925437569618225,0.16536409024495585,,,,
0.3494640588760376,0,109,,,,,,,,,
0.2905638813972473,0,119,,,,,,,,,
0.24265022575855255,0,129,,,,,,,,,
,0,129,0.2511499226093292,0.9594089984893799,0.9584755897521973,0.9942774772644043,0.2552551566226463,,,,
,0,130,,,,,,0.7344722747802734,0.6527552604675293,0.9464176893234253,0.08989933821199345
0.19979533553123474,1,139,,,,,,,,,
0.1666324883699417,1,149,,,,,,,,,
,1,156,0.17592597007751465,0.968840479850769,0.968315839767456,0.995272696018219,0.3338818935713081,,,,
0.1473570466041565,1,159,,,,,,,,,
0.11644762754440308,1,169,,,,,,,,,
0.10649998486042023,1,179,,,,,,,,,
,1,182,0.1377236545085907,0.9664900302886963,0.9658310413360596,0.9955307841300964,0.3877676474757903,,,,
0.08956284821033478,1,189,,,,,,,,,
0.08156906813383102,1,199,,,,,,,,,
,1,208,0.11752254515886307,0.962261438369751,0.9613091349601746,0.9957613348960876,0.4447683650500486,,,,
0.06703019887208939,1,209,,,,,,,,,
0.06540647894144058,1,219,,,,,,,,,
0.05560069531202316,1,229,,,,,,,,,
,1,234,0.10473237186670303,0.962006151676178,0.9610207676887512,0.9959828853607178,0.5134520904011411,,,,
0.050127189606428146,1,239,,,,,,,,,
0.04698406532406807,1,249,,,,,,,,,
0.03970496356487274,1,259,,,,,,,,,
,1,260,0.09871316701173782,0.9591155052185059,0.9579091668128967,0.9962148070335388,0.5490095448608289,,,,
,1,261,,,,,,0.9964109659194946,0.9964193105697632,0.998720109462738,0.5051533936526693
0.0384298712015152,2,269,,,,,,,,,
0.034768953919410706,2,279,,,,,,,,,
,2,287,0.09327388554811478,0.9588836431503296,0.957655131816864,0.9964381456375122,0.5691195683987846,,,,
0.03169570863246918,2,289,,,,,,,,,
0.029559515416622162,2,299,,,,,,,,,
0.026059754192829132,2,309,,,,,,,,,
,2,313,0.0933227390050888,0.9563694000244141,0.9549354910850525,0.9966830015182495,0.5822009174586388,,,,
0.026604000478982925,2,319,,,,,,,,,
0.027237191796302795,2,329,,,,,,,,,
0.025027668103575706,2,339,,,,,,,,,
,2,339,0.09380321204662323,0.9550485014915466,0.9535032510757446,0.9969775676727295,0.5948693348252315,,,,
0.02294439636170864,2,349,,,,,,,,,
0.022226616740226746,2,359,,,,,,,,,
,2,365,0.09551739692687988,0.9540104866027832,0.9523738026618958,0.9973013401031494,0.610191297573533,,,,
0.01608516462147236,2,369,,,,,,,,,
0.018403416499495506,2,379,,,,,,,,,
0.015189176425337791,2,389,,,,,,,,,
,2,391,0.09359397739171982,0.9544762969017029,0.9528715014457703,0.997590184211731,0.6323818635249943,,,,
,2,392,,,,,,0.9975779056549072,0.9975837469100952,0.9996762275695801,0.8166611980381407
0.0164219718426466,3,399,,,,,,,,,
0.016461018472909927,3,409,,,,,,,,,
,3,418,0.0924263596534729,0.9546868801116943,0.9530956149101257,0.9978426694869995,0.6601492230799508,,,,
0.0165553018450737,3,419,,,,,,,,,
0.014199038967490196,3,429,,,,,,,,,
0.014357620850205421,3,439,,,,,,,,,
,3,444,0.09471443295478821,0.9541274905204773,0.952479362487793,0.9980526566505432,0.6868456927977903,,,,
0.014385204762220383,3,449,,,,,,,,,
0.012590058147907257,3,459,,,,,,,,,
0.0095038041472435,3,469,,,,,,,,,
,3,470,0.100971519947052,0.952519416809082,0.9507162570953369,0.9982509613037109,0.7096421118821943,,,,
0.012893399223685265,3,479,,,,,,,,,
0.010860905051231384,3,489,,,,,,,,,
,3,496,0.09871004521846771,0.9531809091567993,0.9514321684837341,0.9983798265457153,0.7325452166937529,,,,
0.012130582705140114,3,499,,,,,,,,,
0.00911417044699192,3,509,,,,,,,,,
0.01144787110388279,3,519,,,,,,,,,
,3,522,0.10120786726474762,0.9527193307876587,0.9509198665618896,0.9984943866729736,0.7480094193438488,,,,
