train_loss,epoch,step,val_loss,val_acc,val_f1,val_auc,val_tpr,train_acc,train_f1,train_auc,train_tpr,learning_rate
1.635618041007092e-08,0,9,,,,,,,,,,
5.8207657444020455e-11,0,19,,,,,,,,,,
,0,23,0.036406509578228,0.9955800175666809,0.995560884475708,0.9999878406524658,0.9781535702387423,,,,,
2.910382490561858e-10,0,29,,,,,,,,,,
2.8521729422692488e-09,0,39,,,,,,,,,,
,0,47,0.03595125302672386,0.9955899715423584,0.9955710172653198,0.9999877214431763,0.9781535702387423,,,,,
,0,48,,,,,,1.0,1.0,1.0000001192092896,1.0,0.00012114184210076928
5.8207657444020455e-11,1,49,,,,,,,,,,
2.416419010842219e-05,1,59,,,,,,,,,,
6.693844589733544e-09,1,69,,,,,,,,,,
,1,72,0.04359216243028641,0.9948300123214722,0.9948035478591919,0.9999877214431763,0.9781535702387423,,,,,
2.2700947788223402e-09,1,79,,,,,,,,,,
1.6356215937207708e-08,1,89,,,,,,,,,,
,1,96,0.05106109008193016,0.9942600131034851,0.9942273497581482,0.9999971985816956,0.9977911294196417,,,,,
,1,97,,,,,,0.9999899864196777,0.9999899864196777,0.9999998807907104,1.0,0.0005191990057937801
3.6088689814306463e-09,2,99,,,,,,,,,,
5.8207657444020455e-11,2,109,,,,,,,,,,
5.471504138654382e-09,2,119,,,,,,,,,,
,2,121,0.04871611297130585,0.9944499731063843,0.9944194555282593,0.9999876022338867,0.9780940731805271,,,,,
0.0,2,129,,,,,,,,,,
5.8207657444020455e-11,2,139,,,,,,,,,,
,2,145,0.043801069259643555,0.9948499798774719,0.9948238730430603,0.9999877214431763,0.978133272914659,,,,,
,2,146,,,,,,0.9999800324440002,0.9999799728393555,1.0,1.0,0.0009180670604109764
2.3283061589829401e-10,3,149,,,,,,,,,,
0.0,3,159,,,,,,,,,,
1.1641530794914701e-10,3,169,,,,,,,,,,
,3,170,0.0514923594892025,0.9942600131034851,0.9942273497581482,0.9999971985816956,0.9977708320955583,,,,,
1.3387755348759356e-09,3,179,,,,,,,,,,
5.238688371989042e-10,3,189,,,,,,,,,,
,3,194,0.05406741052865982,0.9942200183868408,0.9941868782043457,0.9999972581863403,0.9977512714460836,,,,,
,3,195,,,,,,0.9999899864196777,0.9999899864196777,1.0000001192092896,1.0,0.0009829840855672956
3.0907340686781026e-08,4,199,,,,,,,,,,
0.0004923829110339284,4,209,,,,,,,,,,
1.1641530794914701e-10,4,219,,,,,,,,,,
,4,219,0.05648636817932129,0.9940299987792969,0.9939946532249451,0.9999970197677612,0.9977314648696812,,,,,
,4,219,,,,,,0.9999796748161316,0.9999796152114868,1.0,1.0,0.0009219029452651739
